2026-06-22 14:20:23,145 | INFO | app.main | Display candles BTCUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:28,353 | INFO | app.market_data | Candle pipeline ETHUSDT 15m: raw_api=509 normalize=509 (dropna=0 dup=0) flat=293 after_tail=500
2026-06-22 14:20:28,649 | INFO | app.market_data | OHLC resolve ETHUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:20:28,665 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:20:28,916 | INFO | app.main | Display candles ETHUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:29,134 | INFO | app.market_data | Candle pipeline ETHUSDT 1h: raw_api=509 normalize=509 (dropna=0 dup=0) flat=36 after_tail=500
2026-06-22 14:20:29,399 | INFO | app.market_data | OHLC resolve ETHUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:20:29,415 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:20:29,555 | INFO | app.main | Display candles ETHUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:29,774 | INFO | app.market_data | Candle pipeline SOLUSDT 1m: raw_api=424 normalize=424 (dropna=0 dup=0) flat=420 after_tail=424
2026-06-22 14:20:30,603 | INFO | app.market_data | OHLC resolve SOLUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:20:30,603 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:20:30,791 | INFO | app.main | Display candles SOLUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:30,996 | INFO | app.market_data | Candle pipeline SOLUSDT 5m: raw_api=494 normalize=494 (dropna=0 dup=0) flat=466 after_tail=494
2026-06-22 14:20:31,025 | INFO | app.api | Chart response SOLUSDT 5m: stored=510 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:20:31,179 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:20:31,225 | INFO | app.market_data | OHLC resolve SOLUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:20:31,225 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:20:31,368 | INFO | app.main | Display candles SOLUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:31,593 | INFO | app.market_data | Candle pipeline SOLUSDT 15m: raw_api=503 normalize=503 (dropna=0 dup=0) flat=428 after_tail=500
2026-06-22 14:20:31,841 | INFO | app.market_data | OHLC resolve SOLUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:20:31,841 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:20:31,968 | INFO | app.main | Display candles SOLUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:32,521 | INFO | app.market_data | Candle pipeline SOLUSDT 1h: raw_api=508 normalize=508 (dropna=0 dup=0) flat=315 after_tail=500
2026-06-22 14:20:33,514 | INFO | app.market_data | OHLC resolve SOLUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:20:33,522 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:20:33,640 | INFO | app.main | Display candles SOLUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:20:33,640 | INFO | app.main | Market data refresh complete at 2026-06-22T08:50:33.640849+00:00 (12 updates, 0 errors)
2026-06-22 14:20:41,034 | INFO | app.api | Chart response SOLUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:20:41,247 | INFO | app.api | Chart response ETHUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:20:41,417 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:20:41,441 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:20:44,466 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:20:44,816 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:20:51,014 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:20:51,209 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:21:01,395 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:21:01,550 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:21:11,372 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:21:11,822 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:21:21,400 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:21:21,592 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:21:31,400 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:21:31,608 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:21:33,663 | INFO | app.main | Starting market data refresh cycle
2026-06-22 14:21:33,664 | INFO | app.main | Signal engine using timeframe: 5m candles only
2026-06-22 14:21:33,843 | INFO | app.market_data | Candle pipeline BTCUSDT 1m: raw_api=494 normalize=494 (dropna=0 dup=0) flat=482 after_tail=494
2026-06-22 14:21:34,595 | INFO | app.market_data | OHLC resolve BTCUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:21:34,597 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:21:34,730 | INFO | app.main | Display candles BTCUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:34,914 | INFO | app.market_data | Candle pipeline BTCUSDT 5m: raw_api=505 normalize=505 (dropna=0 dup=0) flat=411 after_tail=500
2026-06-22 14:21:35,163 | INFO | app.market_data | OHLC resolve BTCUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:21:35,163 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:21:35,313 | INFO | app.main | Display candles BTCUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:35,530 | INFO | app.market_data | Candle pipeline BTCUSDT 15m: raw_api=509 normalize=509 (dropna=0 dup=0) flat=207 after_tail=500
2026-06-22 14:21:36,330 | INFO | app.market_data | OHLC resolve BTCUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:21:36,330 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:21:36,498 | INFO | app.main | Display candles BTCUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:36,729 | INFO | app.market_data | Candle pipeline BTCUSDT 1h: raw_api=510 normalize=510 (dropna=0 dup=0) flat=15 after_tail=500
2026-06-22 14:21:37,498 | INFO | app.market_data | OHLC resolve BTCUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:21:37,498 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:21:37,634 | INFO | app.main | Display candles BTCUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:38,079 | INFO | app.market_data | Candle pipeline ETHUSDT 1m: raw_api=496 normalize=496 (dropna=0 dup=0) flat=481 after_tail=496
2026-06-22 14:21:38,296 | INFO | app.market_data | OHLC resolve ETHUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:21:38,313 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:21:38,448 | INFO | app.main | Display candles ETHUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:38,915 | INFO | app.market_data | Candle pipeline ETHUSDT 5m: raw_api=507 normalize=507 (dropna=0 dup=0) flat=420 after_tail=500
2026-06-22 14:21:39,162 | INFO | app.market_data | OHLC resolve ETHUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:21:39,179 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:21:39,328 | INFO | app.main | Display candles ETHUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:40,070 | INFO | app.market_data | Candle pipeline ETHUSDT 15m: raw_api=509 normalize=509 (dropna=0 dup=0) flat=293 after_tail=500
2026-06-22 14:21:40,360 | INFO | app.market_data | OHLC resolve ETHUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:21:40,375 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:21:40,527 | INFO | app.main | Display candles ETHUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:40,956 | INFO | app.market_data | Candle pipeline ETHUSDT 1h: raw_api=509 normalize=509 (dropna=0 dup=0) flat=36 after_tail=500
2026-06-22 14:21:41,428 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:21:41,658 | INFO | app.market_data | OHLC resolve ETHUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:21:41,673 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:21:41,818 | INFO | app.main | Display candles ETHUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:41,828 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:21:42,013 | INFO | app.market_data | Candle pipeline SOLUSDT 1m: raw_api=424 normalize=424 (dropna=0 dup=0) flat=420 after_tail=424
2026-06-22 14:21:42,243 | INFO | app.market_data | OHLC resolve SOLUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:21:42,256 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:21:42,428 | INFO | app.main | Display candles SOLUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:42,978 | INFO | app.market_data | Candle pipeline SOLUSDT 5m: raw_api=494 normalize=494 (dropna=0 dup=0) flat=466 after_tail=494
2026-06-22 14:21:43,224 | INFO | app.market_data | OHLC resolve SOLUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:21:43,226 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:21:43,323 | INFO | app.main | Display candles SOLUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:43,906 | INFO | app.market_data | Candle pipeline SOLUSDT 15m: raw_api=503 normalize=503 (dropna=0 dup=0) flat=428 after_tail=500
2026-06-22 14:21:44,112 | INFO | app.market_data | OHLC resolve SOLUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:21:44,115 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:21:44,209 | INFO | app.main | Display candles SOLUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:44,390 | INFO | app.market_data | Candle pipeline SOLUSDT 1h: raw_api=508 normalize=508 (dropna=0 dup=0) flat=315 after_tail=500
2026-06-22 14:21:44,712 | INFO | app.market_data | OHLC resolve SOLUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:21:44,715 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:21:44,794 | INFO | app.main | Display candles SOLUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:21:44,796 | INFO | app.main | Market data refresh complete at 2026-06-22T08:51:44.796771+00:00 (12 updates, 0 errors)
2026-06-22 14:21:51,403 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:21:51,738 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:22:23,408 | INFO | app.api | Chart response BTCUSDT 5m: stored=509 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:22:23,738 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:22:44,793 | INFO | app.main | Starting market data refresh cycle
2026-06-22 14:22:44,793 | INFO | app.main | Signal engine using timeframe: 5m candles only
2026-06-22 14:22:45,549 | INFO | app.market_data | Candle pipeline BTCUSDT 1m: raw_api=494 normalize=494 (dropna=0 dup=0) flat=482 after_tail=494
2026-06-22 14:22:45,914 | INFO | app.market_data | OHLC resolve BTCUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:22:45,917 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:22:46,065 | INFO | app.main | Display candles BTCUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:46,399 | INFO | app.market_data | Candle pipeline BTCUSDT 5m: raw_api=505 normalize=505 (dropna=0 dup=0) flat=411 after_tail=500
2026-06-22 14:22:46,928 | INFO | app.market_data | OHLC resolve BTCUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:46,932 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:47,076 | INFO | app.main | Display candles BTCUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:48,055 | INFO | app.market_data | Candle pipeline BTCUSDT 15m: raw_api=509 normalize=509 (dropna=0 dup=0) flat=207 after_tail=500
2026-06-22 14:22:48,867 | INFO | app.market_data | OHLC resolve BTCUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:48,872 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:48,993 | INFO | app.main | Display candles BTCUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:49,223 | INFO | app.market_data | Candle pipeline BTCUSDT 1h: raw_api=510 normalize=510 (dropna=0 dup=0) flat=15 after_tail=500
2026-06-22 14:22:49,499 | INFO | app.market_data | OHLC resolve BTCUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:49,503 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:49,627 | INFO | app.main | Display candles BTCUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:49,852 | INFO | app.market_data | Candle pipeline ETHUSDT 1m: raw_api=496 normalize=496 (dropna=0 dup=0) flat=481 after_tail=496
2026-06-22 14:22:50,152 | INFO | app.market_data | OHLC resolve ETHUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:22:50,154 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:22:50,296 | INFO | app.main | Display candles ETHUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:50,509 | INFO | app.market_data | Candle pipeline ETHUSDT 5m: raw_api=507 normalize=507 (dropna=0 dup=0) flat=420 after_tail=500
2026-06-22 14:22:50,812 | INFO | app.market_data | OHLC resolve ETHUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:50,815 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:50,939 | INFO | app.main | Display candles ETHUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:51,137 | INFO | app.market_data | Candle pipeline ETHUSDT 15m: raw_api=509 normalize=509 (dropna=0 dup=0) flat=293 after_tail=500
2026-06-22 14:22:51,426 | INFO | app.market_data | OHLC resolve ETHUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:51,426 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:51,574 | INFO | app.main | Display candles ETHUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:51,783 | INFO | app.market_data | Candle pipeline ETHUSDT 1h: raw_api=509 normalize=509 (dropna=0 dup=0) flat=36 after_tail=500
2026-06-22 14:22:52,058 | INFO | app.market_data | OHLC resolve ETHUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:52,058 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:52,269 | INFO | app.main | Display candles ETHUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:52,592 | INFO | app.market_data | Candle pipeline SOLUSDT 1m: raw_api=424 normalize=424 (dropna=0 dup=0) flat=420 after_tail=424
2026-06-22 14:22:52,878 | INFO | app.market_data | OHLC resolve SOLUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:22:52,894 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:22:53,155 | INFO | app.main | Display candles SOLUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:53,365 | INFO | app.market_data | Candle pipeline SOLUSDT 5m: raw_api=494 normalize=494 (dropna=0 dup=0) flat=466 after_tail=494
2026-06-22 14:22:53,672 | INFO | app.market_data | OHLC resolve SOLUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:53,672 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:53,850 | INFO | app.main | Display candles SOLUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:54,189 | INFO | app.market_data | Candle pipeline SOLUSDT 15m: raw_api=503 normalize=503 (dropna=0 dup=0) flat=428 after_tail=500
2026-06-22 14:22:54,493 | INFO | app.market_data | OHLC resolve SOLUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:54,510 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:54,679 | INFO | app.main | Display candles SOLUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:55,009 | INFO | app.market_data | Candle pipeline SOLUSDT 1h: raw_api=508 normalize=508 (dropna=0 dup=0) flat=315 after_tail=500
2026-06-22 14:22:55,430 | INFO | app.market_data | OHLC resolve SOLUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:22:55,439 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:22:55,623 | INFO | app.main | Display candles SOLUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:22:55,630 | INFO | app.main | Market data refresh complete at 2026-06-22T08:52:55.623372+00:00 (12 updates, 0 errors)
2026-06-22 14:23:23,410 | INFO | app.api | Chart response BTCUSDT 5m: stored=510 limit=200 sent=200 (trade candles for signals/indicators)
2026-06-22 14:23:23,845 | INFO | app.services.missed_opportunity_service | Missed opportunity totals: total=15 winners=5 losers=10 consistent=True monitoring=0 gross_profit=693.04 gross_loss=-623.86 net=69.18
2026-06-22 14:23:55,637 | INFO | app.main | Starting market data refresh cycle
2026-06-22 14:23:55,645 | INFO | app.main | Signal engine using timeframe: 5m candles only
2026-06-22 14:23:56,093 | INFO | app.market_data | Candle pipeline BTCUSDT 1m: raw_api=494 normalize=494 (dropna=0 dup=0) flat=482 after_tail=494
2026-06-22 14:23:56,393 | INFO | app.market_data | OHLC resolve BTCUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:23:56,408 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
2026-06-22 14:23:56,558 | INFO | app.main | Display candles BTCUSDT 1m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:23:56,751 | INFO | app.market_data | Candle pipeline BTCUSDT 5m: raw_api=505 normalize=505 (dropna=0 dup=0) flat=411 after_tail=500
2026-06-22 14:23:57,293 | INFO | app.market_data | OHLC resolve BTCUSDT 5m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:23:57,297 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:23:57,430 | INFO | app.main | Display candles BTCUSDT 5m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:23:57,819 | INFO | app.market_data | Candle pipeline BTCUSDT 15m: raw_api=509 normalize=509 (dropna=0 dup=0) flat=207 after_tail=500
2026-06-22 14:23:58,074 | INFO | app.market_data | OHLC resolve BTCUSDT 15m: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:23:58,080 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:23:58,226 | INFO | app.main | Display candles BTCUSDT 15m: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:23:58,423 | INFO | app.market_data | Candle pipeline BTCUSDT 1h: raw_api=510 normalize=510 (dropna=0 dup=0) flat=15 after_tail=500
2026-06-22 14:23:58,826 | INFO | app.market_data | OHLC resolve BTCUSDT 1h: source=mark_primary flat_before=0 flat_after=0 mark_bars=510
2026-06-22 14:23:58,831 | INFO | app.indicators | Indicator calculation complete: 510 candles, SMA84 valid=427, HH50 valid=460, LL50 valid=460
2026-06-22 14:23:58,988 | INFO | app.main | Display candles BTCUSDT 1h: flat_before=0 enriched=0 flat_after=0
2026-06-22 14:23:59,199 | INFO | app.market_data | Candle pipeline ETHUSDT 1m: raw_api=496 normalize=496 (dropna=0 dup=0) flat=481 after_tail=496
2026-06-22 14:23:59,495 | INFO | app.market_data | OHLC resolve ETHUSDT 1m: source=mark_primary flat_before=0 flat_after=0 mark_bars=509
2026-06-22 14:23:59,508 | INFO | app.indicators | Indicator calculation complete: 509 candles, SMA84 valid=426, HH50 valid=459, LL50 valid=459
